epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.921,1.56491,2.86549,1.38859,0.01152,0.93827,0.32896,0.2026,1.18868,2.86624,1.04063,0.0001,0.0001,0.0001
2,222.69,1.53818,2.74416,1.30433,0.01167,0.95062,0.432,0.26111,1.21607,2.88121,1.05221,0.000215644,0.000215644,0.000215644
3,260.593,1.51842,2.51607,1.30062,0.01212,0.98765,0.50172,0.28554,1.27076,2.83612,1.06053,0.000326536,0.000326536,0.000326536
4,301.781,1.49976,2.26327,1.2851,0.01227,1,0.51426,0.31716,1.23295,2.75641,1.05762,0.000432676,0.000432676,0.000432676
5,341.745,1.42724,2.03599,1.22791,0.43293,0.67901,0.55482,0.33318,1.2113,2.65639,1.0686,0.000534064,0.000534064,0.000534064
