epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.44338,1.61906,2.84876,1.41545,0.00333,0.07143,0.00179,0.00054,2.24999,3.42001,1.12716,0,0,0
2,4.81486,1.51509,2.7282,1.38559,0.00333,0.07143,0.00179,0.00054,2.25931,3.41915,1.13811,1.9604e-05,1.9604e-05,1.9604e-05
3,6.11873,1.33074,2.76657,1.13649,0.00333,0.07143,0.00179,0.00054,2.25782,3.42204,1.15097,3.8416e-05,3.8416e-05,3.8416e-05
4,7.35459,2.16177,3.03641,1.72349,0.00333,0.07143,0.00179,0.00054,2.19953,3.41902,1.16213,5.6436e-05,5.6436e-05,5.6436e-05
5,8.68967,1.55565,2.99459,1.18174,0.00333,0.07143,0.0018,0.00018,2.09957,3.42467,1.14492,7.3664e-05,7.3664e-05,7.3664e-05
6,11.2409,2.31646,3.22064,1.60995,0.00333,0.07143,0.00181,0.00018,2.01842,3.43443,1.12705,9.01e-05,9.01e-05,9.01e-05
7,12.5926,1.00021,2.44086,1.13313,0.00667,0.14286,0.00383,0.00056,1.94162,3.4431,1.11364,0.000105744,0.000105744,0.000105744
8,13.9808,1.67847,2.97672,1.17519,0.00667,0.14286,0.00384,0.00056,1.88196,3.45338,1.11456,0.000120596,0.000120596,0.000120596
9,15.2926,1.52007,2.8663,1.3565,0.01,0.21429,0.00612,0.00235,1.83456,3.45564,1.11334,0.000134656,0.000134656,0.000134656
10,16.5394,1.14679,2.66833,1.07662,0.01,0.21429,0.00612,0.00235,1.82346,3.44987,1.11014,0.000147924,0.000147924,0.000147924
11,17.7849,1.40932,2.89369,1.13665,0.01333,0.28571,0.00868,0.00391,1.80734,3.43815,1.09126,0.0001604,0.0001604,0.0001604
12,19.053,1.19776,2.61376,1.15247,0.02,0.42857,0.01429,0.00608,1.80918,3.43577,1.08735,0.000172084,0.000172084,0.000172084
13,20.3633,1.35818,2.86506,1.15366,0.02333,0.5,0.01774,0.00669,1.84908,3.44457,1.07273,0.000182976,0.000182976,0.000182976
14,21.7205,1.07881,2.42209,1.09088,0.02333,0.5,0.0179,0.00641,1.8445,3.4541,1.06061,0.000193076,0.000193076,0.000193076
15,23.0068,1.23261,2.23649,1.13088,0.02333,0.5,0.01807,0.00647,1.81322,3.45876,1.058,0.000202384,0.000202384,0.000202384
16,24.2349,1.32847,2.53933,1.1582,0.02333,0.5,0.01819,0.00689,1.76552,3.46392,1.0583,0.0002109,0.0002109,0.0002109
17,25.503,0.99255,2.20121,0.94783,0.02667,0.57143,0.02121,0.00795,1.7471,3.45477,1.05459,0.000218624,0.000218624,0.000218624
18,26.6741,1.15599,2.17662,0.99215,0.02667,0.57143,0.02121,0.00795,1.7471,3.45477,1.05459,0.000225556,0.000225556,0.000225556
19,27.9528,1.09227,2.22194,1.06399,0.02667,0.57143,0.02187,0.00863,1.70726,3.4375,1.04795,0.000231696,0.000231696,0.000231696
20,29.1201,1.04077,1.72656,1.06012,0.02667,0.57143,0.02187,0.00863,1.70726,3.4375,1.04795,0.000237044,0.000237044,0.000237044
