epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2702,1.78728,3.20945,1.33069,0.008,0.8,0.09287,0.03939,1.62568,3.17152,1.07166,2e-05,2e-05,2e-05
2,49.4697,1.70237,3.16476,1.15508,0.008,0.8,0.12523,0.07756,1.5275,3.18618,1.05278,5.8812e-05,5.8812e-05,5.8812e-05
3,60.453,1.58692,3.12392,1.1181,0.00867,0.86667,0.15802,0.08039,1.46372,3.16251,1.0288,9.604e-05,9.604e-05,9.604e-05
4,66.9526,1.63624,3.17447,1.21426,0.00867,0.86667,0.19098,0.11787,1.32004,3.14964,0.99451,0.000131684,0.000131684,0.000131684
5,73.2288,1.6252,2.92457,1.20734,0.00867,0.86667,0.20759,0.13825,1.18107,3.15813,0.97154,0.000165744,0.000165744,0.000165744
6,80.193,1.55522,2.95899,1.15305,0.00933,0.93333,0.20509,0.13868,1.09135,3.16792,0.95801,0.00019822,0.00019822,0.00019822
7,86.4849,1.7698,3.36734,1.12017,0.00867,0.86667,0.23584,0.14946,1.13191,3.20555,0.96665,0.000229112,0.000229112,0.000229112
8,92.938,1.46874,2.78974,1.11423,0.00867,0.86667,0.2677,0.154,1.18946,3.20763,0.96855,0.00025842,0.00025842,0.00025842
9,99.5917,1.53104,2.52669,1.22159,0.00867,0.86667,0.28551,0.16389,1.17462,3.20801,0.96434,0.000286144,0.000286144,0.000286144
10,105.973,1.6409,2.83456,1.13549,0.00867,0.86667,0.3067,0.15928,1.18606,3.20376,0.95996,0.000312284,0.000312284,0.000312284
11,112.39,1.49015,2.42755,1.11334,0.00933,0.93333,0.39303,0.15911,1.20398,3.18793,0.95838,0.00033684,0.00033684,0.00033684
12,118.923,1.56208,2.75938,1.13473,0.00933,0.93333,0.36213,0.16104,1.21705,3.16787,0.95888,0.000359812,0.000359812,0.000359812
13,124.994,1.67358,2.36408,1.27921,0.00933,0.93333,0.35375,0.14762,1.2081,3.14582,0.95808,0.0003812,0.0003812,0.0003812
14,131.423,1.57397,2.2802,1.18322,0.00933,0.93333,0.36716,0.15835,1.19857,3.10697,0.95708,0.000401004,0.000401004,0.000401004
15,137.601,1.39391,2.01633,1.14574,0.00933,0.93333,0.36835,0.15893,1.19014,3.06617,0.95404,0.000419224,0.000419224,0.000419224
16,144.046,1.52887,2.07466,1.12716,0.01347,0.46667,0.36949,0.17229,1.17817,3.03368,0.94368,0.00043586,0.00043586,0.00043586
17,150.268,1.82906,2.75398,1.31573,0.01372,0.46667,0.36896,0.17675,1.14659,3.00261,0.94084,0.000450912,0.000450912,0.000450912
18,156.425,1.35887,1.70516,1.14583,0.29937,0.4,0.36213,0.17907,1.12388,3.00595,0.93777,0.00046438,0.00046438,0.00046438
19,162.597,1.31445,1.64729,1.13295,0.0115,0.4,0.36096,0.16466,1.12144,2.99133,0.93892,0.000476264,0.000476264,0.000476264
20,168.663,1.48749,1.94291,1.16599,0.01,1,0.41015,0.1833,1.12941,2.97168,0.94247,0.000486564,0.000486564,0.000486564
21,174.786,1.38106,1.59511,1.11454,0.00933,0.93333,0.4082,0.20003,1.16167,2.95272,0.95196,0.00049528,0.00049528,0.00049528
22,180.864,1.59044,1.694,1.22853,0.01,1,0.36243,0.18313,1.20749,2.92917,0.96549,0.000502412,0.000502412,0.000502412
23,186.996,1.2076,1.6548,1.11791,0.02178,0.78976,0.37738,0.20682,1.19713,2.92195,0.97741,0.00050796,0.00050796,0.00050796
24,193.236,1.34466,1.76657,1.04827,0.64835,0.33333,0.36491,0.196,1.23375,2.88993,0.98966,0.000511924,0.000511924,0.000511924
25,199.302,1.30338,1.71716,1.06306,0.62928,0.2,0.33147,0.19616,1.29593,2.8458,1.00689,0.000514304,0.000514304,0.000514304
26,205.414,1.35365,1.38599,1.1465,0.69245,0.2,0.35444,0.19541,1.34572,2.82442,1.02088,0.0005151,0.0005151,0.0005151
27,211.723,1.38069,1.63833,1.15948,0.71028,0.32773,0.40034,0.24402,1.36945,2.77268,1.02417,0.000514312,0.000514312,0.000514312
28,217.957,1.29999,1.49074,1.07683,0.71028,0.32773,0.40034,0.24402,1.36945,2.77268,1.02417,0.00051194,0.00051194,0.00051194
29,224.083,1.41422,2.19917,1.15608,1,0.25711,0.50778,0.32106,1.35467,2.72042,1.02523,0.000507984,0.000507984,0.000507984
30,230.203,1.33183,1.47561,1.06001,1,0.18018,0.60083,0.41381,1.3527,2.67437,1.02209,0.000502444,0.000502444,0.000502444
31,236.381,1.32102,1.48336,1.11897,1,0.18018,0.60083,0.41381,1.3527,2.67437,1.02209,0.00049532,0.00049532,0.00049532
32,242.49,1.37504,1.56392,1.12032,1,0.18838,0.66737,0.44834,1.32347,2.61059,1.01983,0.000486612,0.000486612,0.000486612
33,248.543,1.36979,1.71093,1.23729,1,0.19871,0.69,0.46768,1.3219,2.55137,1.03787,0.00047632,0.00047632,0.00047632
34,254.57,1.31671,2.15538,1.15464,1,0.19871,0.69,0.46768,1.3219,2.55137,1.03787,0.000464444,0.000464444,0.000464444
35,260.667,1.31465,1.48208,1.05104,1,0.2311,0.73303,0.4808,1.29198,2.50933,1.0443,0.000450984,0.000450984,0.000450984
36,266.757,1.54795,1.75409,1.17578,1,0.2723,0.76751,0.48279,1.26985,2.45939,1.03445,0.00043594,0.00043594,0.00043594
37,272.991,1.37742,1.46883,1.16247,1,0.2723,0.76751,0.48279,1.26985,2.45939,1.03445,0.000419312,0.000419312,0.000419312
38,279.351,1.1527,1.25453,1.03709,1,0.30287,0.77182,0.49258,1.23817,2.41732,1.02774,0.0004011,0.0004011,0.0004011
39,285.467,1.32144,1.51379,1.12629,1,0.31916,0.77481,0.49462,1.23858,2.36353,1.02235,0.000381304,0.000381304,0.000381304
40,291.526,1.51405,1.71451,1.19464,1,0.31916,0.77481,0.49462,1.23858,2.36353,1.02235,0.000359924,0.000359924,0.000359924
41,297.758,1.38886,2.09935,1.18715,1,0.3291,0.77299,0.50239,1.2365,2.30283,1.01887,0.00033696,0.00033696,0.00033696
42,303.835,1.3684,2.0638,1.16943,1,0.36662,0.77002,0.48991,1.24796,2.24446,1.0269,0.000312412,0.000312412,0.000312412
43,309.803,1.65338,2.69001,1.27484,1,0.36662,0.77002,0.48991,1.24796,2.24446,1.0269,0.00028628,0.00028628,0.00028628
44,315.73,1.3807,1.78885,1.06957,1,0.43565,0.77193,0.48651,1.26619,2.1786,1.0373,0.000258564,0.000258564,0.000258564
45,321.804,1.49468,2.08085,1.15769,1,0.43565,0.77193,0.48651,1.26619,2.1786,1.0373,0.000229264,0.000229264,0.000229264
46,328.078,1.14807,1.8407,1.059,0.90245,0.61796,0.76338,0.50823,1.29681,2.11409,1.049,0.00019838,0.00019838,0.00019838
47,334.03,1.70703,3.16363,1.23844,0.90245,0.61796,0.76338,0.50823,1.29681,2.11409,1.049,0.000165912,0.000165912,0.000165912
48,339.945,1.41245,1.80839,1.17885,0.91451,0.71432,0.77074,0.51328,1.32172,2.05341,1.06071,0.00013186,0.00013186,0.00013186
49,346.019,1.40878,2.06509,1.10262,0.91451,0.71432,0.77074,0.51328,1.32172,2.05341,1.06071,9.6224e-05,9.6224e-05,9.6224e-05
50,352.087,1.49225,2.04304,1.13003,0.92143,0.7829,0.76604,0.48675,1.34416,1.98657,1.06877,5.9004e-05,5.9004e-05,5.9004e-05
