epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.12276,1.61906,2.84876,1.41545,0.00333,0.07143,0.00179,0.00054,2.24999,3.42001,1.12716,0,0,0
2,2.17502,1.51509,2.7282,1.38559,0.00333,0.07143,0.00179,0.00054,2.23559,3.41818,1.1241,1.9604e-05,1.9604e-05,1.9604e-05
3,3.19462,1.39639,2.77032,1.15416,0.00333,0.07143,0.00179,0.00054,2.22523,3.41912,1.12361,3.8416e-05,3.8416e-05,3.8416e-05
4,4.2856,2.2828,3.02293,1.79884,0.00333,0.07143,0.00179,0.00054,2.19835,3.4193,1.11947,5.6436e-05,5.6436e-05,5.6436e-05
5,5.3696,1.64795,3.00599,1.23752,0.00333,0.07143,0.00179,0.00054,2.16355,3.42104,1.11453,7.3664e-05,7.3664e-05,7.3664e-05
6,6.75415,2.57323,3.2227,1.77456,0.00333,0.07143,0.00179,0.00054,2.12195,3.42734,1.11427,9.01e-05,9.01e-05,9.01e-05
7,7.82506,1.58746,2.54144,1.52202,0.00333,0.07143,0.00179,0.00054,2.05922,3.4289,1.10399,0.000105744,0.000105744,0.000105744
8,8.77692,2.28835,3.07882,1.53905,0.00333,0.07143,0.00179,0.00036,2.01139,3.43079,1.09987,0.000120596,0.000120596,0.000120596
9,9.70112,1.81319,2.87706,1.59929,0.01,0.21429,0.00607,0.00139,1.96811,3.43357,1.09636,0.000134656,0.000134656,0.000134656
10,10.6273,1.20575,2.68921,1.11592,0.01,0.21429,0.00612,0.00122,1.90769,3.43596,1.08866,0.000147924,0.000147924,0.000147924
11,11.5638,1.98791,3.11135,1.40328,0.01,0.21429,0.00615,0.001,1.84805,3.44027,1.08367,0.0001604,0.0001604,0.0001604
12,12.5027,1.47777,2.73656,1.33325,0.01,0.21429,0.00617,0.00101,1.78257,3.44406,1.07903,0.000172084,0.000172084,0.000172084
13,13.4182,1.78279,3.13051,1.36448,0.00667,0.14286,0.00391,0.00057,1.74098,3.45328,1.0762,0.000182976,0.000182976,0.000182976
14,14.7081,1.25874,2.69075,1.33696,0.00667,0.14286,0.00395,0.00058,1.69085,3.46314,1.07341,0.000193076,0.000193076,0.000193076
15,15.6272,1.43159,2.54534,1.32357,0.01,0.21429,0.00613,0.00138,1.66683,3.46733,1.06983,0.000202384,0.000202384,0.000202384
16,16.5755,1.64606,2.91094,1.53085,0.00667,0.14286,0.00387,0.00095,1.67702,3.46687,1.07111,0.0002109,0.0002109,0.0002109
17,17.4852,1.36714,2.56019,1.19907,0.01,0.21429,0.00609,0.00118,1.71445,3.47036,1.08002,0.000218624,0.000218624,0.000218624
18,18.3615,1.75006,2.77258,1.37093,0.01,0.21429,0.00609,0.00118,1.71445,3.47036,1.08002,0.000225556,0.000225556,0.000225556
19,19.28,1.37448,2.62944,1.29619,0.01,0.21429,0.0061,0.00118,1.75544,3.47595,1.09447,0.000231696,0.000231696,0.000231696
20,20.2834,1.5866,2.23642,1.44054,0.01,0.21429,0.0061,0.00118,1.75544,3.47595,1.09447,0.000237044,0.000237044,0.000237044
21,21.2177,1.53031,2.32004,1.32076,0.01,0.21429,0.0061,0.00171,1.81639,3.4777,1.11236,0.0002416,0.0002416,0.0002416
22,22.1104,1.2228,2.14768,1.19585,0.01,0.21429,0.0061,0.00171,1.81639,3.4777,1.11236,0.000245364,0.000245364,0.000245364
23,23.0314,1.39327,2.2446,1.14173,0.01,0.21429,0.00615,0.00154,1.85866,3.48367,1.12453,0.000248336,0.000248336,0.000248336
24,23.93,1.79609,3.04574,1.38049,0.01,0.21429,0.00615,0.00154,1.85866,3.48367,1.12453,0.000250516,0.000250516,0.000250516
