epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2032.52,0.56992,1.49244,0.93943,0.73602,0.94796,0.85704,0.81134,0.33038,1.00016,0.80709,0.000663636,0.000663636,0.000663636
2,4001.16,0.58292,0.95277,0.93627,0.73252,0.65155,0.72032,0.58025,0.76849,1.50136,1.03561,0.00130396,0.00130396,0.00130396
3,6063.67,0.57557,0.81618,0.93628,0.83516,0.87361,0.89553,0.8432,0.33847,0.59951,0.80531,0.00191789,0.00191789,0.00191789
4,8091.27,0.54191,0.74986,0.92325,0.80427,0.88848,0.90259,0.86458,0.30765,0.74431,0.80407,0.0018812,0.0018812,0.0018812
5,10165.3,0.5085,0.72303,0.92132,0.69278,0.86617,0.86443,0.72598,0.58519,0.9583,0.88833,0.0018416,0.0018416,0.0018416
6,12102.9,0.47932,0.68666,0.90523,0.81874,0.90675,0.93688,0.89324,0.30406,0.54454,0.80298,0.001802,0.001802,0.001802
7,14082.5,0.44724,0.64799,0.8912,0.81874,0.90675,0.93688,0.89324,3.86205,5.18589,3.32545,0.0017624,0.0017624,0.0017624
8,16072.3,0.44364,0.63858,0.89522,0.87864,0.88104,0.94741,0.91841,0.25467,0.647,0.79689,0.0017228,0.0017228,0.0017228
9,18052,0.44546,0.62206,0.89887,0.81252,0.86999,0.90179,0.81211,0.39185,0.59992,0.84012,0.0016832,0.0016832,0.0016832
10,20028.9,0.4295,0.61466,0.89319,0.8702,0.89718,0.95101,0.93557,0.22635,0.40951,0.78754,0.0016436,0.0016436,0.0016436
11,22196.2,0.4065,0.60324,0.88828,0.05944,0.2119,0.06797,0.02013,2.57887,5.17753,2.46871,0.001604,0.001604,0.001604
12,24166,0.39952,0.59091,0.88438,0.00151,0.01859,0.00077,0.00017,2.71551,5.54391,2.83502,0.0015644,0.0015644,0.0015644
13,26236.4,0.40022,0.5818,0.88692,0.02985,0.02974,0.01563,0.00311,3.93188,5.88287,3.85164,0.0015248,0.0015248,0.0015248
14,28363.1,0.38026,0.57138,0.88627,0.89557,0.89268,0.95699,0.93867,0.2236,0.40342,0.79573,0.0014852,0.0014852,0.0014852
15,30283.8,0.39778,0.58935,0.88818,0.87033,0.92322,0.959,0.94618,0.20401,0.37438,0.78506,0.0014456,0.0014456,0.0014456
